antecedents,consequents,antecedent support,consequent support,support,confidence,confidence_inverse,conviction,conviction_inverse,lift,chi_square,p_value,leverage,all_confidence,max_confidence,kulczynski,cosine,imbalance_ratio,item_id_antecedents,brand_antecedents,brand_type_antecedents,category_antecedents,item_id_consequents,brand_consequents,brand_type_consequents,category_consequents
28289,25377,0.006086559724806066,0.008171574993857279,0.001972691214152831,0.32410611303344866,0.24140893470790376,1.4674321578162555,1.3102097898984437,39.66262480330721,10742.9,0.0,0.0019229544349069867,0.24140893470790376,0.008171574993857279,0.2827575238706762,0.279717914120144,0.1697142857142857,28289,1124,Established,Grocery,25377,1124,Established,Grocery
27801,4649,0.003945382428305662,0.005307311593948542,0.001186422829864158,0.30071174377224197,0.22354497354497352,1.4224358546671778,1.2828233234824546,56.65989992280027,9326.6,0.0,0.0011654834559598505,0.22354497354497352,0.005307311593948542,0.26212835865860773,0.25927321266615394,0.1688424717145344,27801,1235,Established,Grocery,4649,1235,Established,Grocery
11889,27801,0.004240233072413914,0.003945382428305662,0.0011653620695707115,0.27483443708609273,0.29537366548042704,1.3735547694367656,1.413174214680059,69.65977115787986,11326.4,0.0,0.0011486327285148892,0.27483443708609273,0.004240233072413914,0.2851040512832599,0.28491903250286565,0.041999999999999975,11889,1235,Established,Grocery,27801,1235,Established,Grocery
27801,11889,0.003945382428305662,0.004240233072413914,0.0011653620695707115,0.29537366548042704,0.27483443708609273,1.413174214680059,1.3735547694367656,69.65977115787986,11326.4,0.0,0.0011486327285148892,0.27483443708609273,0.004240233072413914,0.2851040512832599,0.28491903250286565,0.041999999999999975,27801,1235,Established,Grocery,11889,1235,Established,Grocery
46536,46201,0.004050686229772895,0.003095931763136649,0.0012566253641756468,0.3102253032928943,0.40589569160997735,1.4452604205343473,1.6763879670712603,100.20417988108011,17706.7,0.0,0.0012440847160143926,0.3102253032928943,0.004050686229772895,0.35806049745143587,0.35485083349906943,0.1620977353992849,46536,56,Local,Grocery,46201,56,Local,Grocery
46201,46536,0.003095931763136649,0.004050686229772895,0.0012566253641756468,0.40589569160997735,0.3102253032928943,1.6763879670712603,1.4452604205343473,100.20417988108011,17706.7,0.0,0.0012440847160143926,0.3102253032928943,0.004050686229772895,0.35806049745143587,0.35485083349906943,0.1620977353992849,46201,56,Local,Grocery,46536,56,Local,Grocery
53521,53517,0.010439116852118362,0.012166099196180983,0.003411843167538348,0.3268325487558843,0.2804385458742066,1.4674415689263525,1.3752277550082428,26.864202197075556,12380.4,0.0,0.0032848398363949515,0.2804385458742066,0.012166099196180983,0.30363554731504544,0.30274815394558713,0.08997805413313825,53521,89,Established,Grocery,53517,89,Established,Grocery
53517,53521,0.012166099196180983,0.010439116852118362,0.003411843167538348,0.2804385458742066,0.3268325487558843,1.3752277550082428,1.4674415689263525,26.864202197075556,12380.4,0.0,0.0032848398363949515,0.2804385458742066,0.012166099196180983,0.30363554731504544,0.30274815394558713,0.08997805413313825,53517,89,Established,Grocery,53521,89,Established,Grocery
53511,53517,0.003629471023903963,0.012166099196180983,0.0015304152479904524,0.42166344294003866,0.1257934218118869,1.7080606244668042,1.139742657898069,34.658885822039124,7240.0,0.0,0.0014862587434839722,0.1257934218118869,0.012166099196180983,0.2737284323759628,0.2303095467852099,0.5984251968503937,53511,2025,Established,Grocery,53517,89,Established,Grocery
53511,53521,0.003629471023903963,0.010439116852118362,0.0012566253641756468,0.34622823984526113,0.12037659717552118,1.5136182739273811,1.1327239882167086,33.16643014442382,5663.7,0.0,0.0012187368920457357,0.12037659717552118,0.010439116852118362,0.23330241851039116,0.204151358943904,0.5315068493150685,53511,2025,Established,Grocery,53521,89,Established,Grocery
